28	[1, 6, 7, 16, 19, 27, 28, 72, 81, 83, 138, 195, 351, 479, 714, 755, 877, 883, 974, 5748, 8467, 11309]
146	[2, 82, 146, 197, 624, 657, 805]
135	[5, 36, 135, 150, 153, 154, 155]
9	[8, 9, 43, 51, 167, 172, 181, 240, 243, 244, 257, 264, 1140]
10	[10, 23, 26, 32, 39, 414]
853	[15, 136, 853, 1031, 1043]
1286	[17, 1286, 6372, 7377, 9404]
341	[20, 341, 2243, 6833, 25454]
66	[24, 66, 69, 370, 444, 746]
74	[25, 74, 108, 144, 160, 946]
143	[33, 143, 164, 688, 970, 985]
8485	[35, 1930, 4082, 8485, 8486, 26223, 32389, 34904, 50151, 86150]
3595	[37, 3595, 3596, 247345, 543417]
93	[40, 93, 96, 97, 418, 423, 428, 660, 685, 807, 901, 1655, 1689, 3614, 3615, 3648]
167	[41, 591, 777, 907, 1438]
645	[44, 250, 645, 646, 760, 847]
45	[45, 80, 267, 352, 452]
115	[48, 115, 120, 1033, 4424, 4430]
620	[50, 286, 620, 650, 756, 801, 1152, 1561]
421	[52, 405, 421, 778, 800, 1095]
183	[57, 183, 8650, 16335, 27598]
26972	[79, 111, 26972, 976879, 1177361, 1881534]
221	[94, 221, 273, 799, 945, 1993]
387	[98, 387, 1751, 1858, 5894]
101	[99, 101, 102, 3814, 18996]
946	[107, 639, 1660, 5496, 7515]
3599	[110, 3599, 3600, 3601, 3602, 4578, 5657]
772	[121, 234, 320, 954, 1035, 1036, 1857, 3044, 4490]
124	[123, 124, 125, 126, 127, 128, 129, 656, 821, 953, 2952, 9885]
156	[134, 156, 188, 301, 483, 500, 622, 687, 838, 1315, 1364, 1687]
297	[168, 297, 372, 625, 695, 730, 796, 832, 844, 865]
438	[169, 438, 30498, 62634, 73341]
334167	[174, 334167, 436540, 439156, 544484]
186	[186, 187, 193, 353, 1061, 1123, 1278, 1329, 1339, 2100]
192	[192, 199, 279, 642, 930, 932, 941, 1179]
37030	[206, 938, 37030, 53113, 85561]
342246	[228, 5265, 6961, 59424, 342246]
7429	[239, 702, 758, 973, 7429, 7430, 8328, 8629, 10876, 12943, 13483, 13903, 15156, 24664, 95696]
258	[253, 258, 721, 834, 6963]
1796	[259, 780, 1348, 1796, 5676, 77923, 2071944]
732	[263, 732, 1079, 1345, 1358]
276	[275, 276, 114708, 266465, 833237]
292	[292, 355, 366, 736, 870]
690	[303, 616, 690, 733, 885, 12266]
319	[318, 319, 321, 322, 772, 2752, 2774]
403	[403, 700, 723, 1788, 1869, 6787, 8269]
5501	[453, 5501, 171732, 184240, 258133]
1864	[469, 1232, 1864, 4955, 9440, 10442]
678	[677, 678, 17365, 311628, 311739]
9746	[779, 1874, 9746, 18548, 20889]
1386	[804, 1386, 1391, 1392, 1401, 1402, 9946, 29424, 217957, 223611]
21997	[914, 21997, 46278, 69486, 232855]
3565	[1094, 3565, 6932, 7310, 18075, 22382]
1453	[1453, 5921, 94570, 108470, 185320]
5711	[1705, 5711, 15389, 64232, 663045]
15492	[1711, 15492, 20233, 22321, 22532]
120864	[4134, 120864, 890022, 894095, 894103]
4972	[4309, 4971, 4972, 10057, 16248]
1496240	[5548, 58718, 174772, 1496240, 4033200]
12212	[5550, 12212, 12562, 23516, 189556]
8608	[8608, 8780, 16696, 19349, 26499, 77389, 343318, 1339801]
10670	[10670, 90830, 125961, 125965, 244497, 566541]
11179	[11179, 73233, 116783, 121933, 122160, 156917]
