28	[1, 6, 7, 14, 15, 16, 18, 19, 27, 28, 50, 72, 95, 155, 286, 458, 479, 513, 579, 602, 611, 612, 628, 670, 691, 731, 755, 830, 857, 916, 917, 952, 1020, 1091, 1096, 1102, 1146, 1226, 1247, 1282, 1319, 1321, 1437, 1447, 1460, 1595, 1620, 1667, 1814, 1929, 1983, 1992, 1996, 2026, 2040, 2054, 2056, 2107, 2108, 2119, 2121, 2144, 2239, 2284, 2292, 2329, 2353, 2368, 2814, 3859, 5340, 5387, 5462, 5466, 5617, 5675, 5965, 6263, 6400, 6455, 6484, 6488, 6492, 7191, 7788, 8106, 8209, 8461, 8467, 8997, 10667, 10956, 11309, 17629, 23232, 26283, 30426, 31441, 32667, 33573, 33757, 35021, 58800, 70843, 97261, 97276, 103342, 336069, 732583, 748514, 1123620, 1148791, 1165238]
146	[2, 82, 146, 197, 449, 624, 657, 662, 781, 805, 811, 848, 862, 866, 869, 887, 1068, 1108, 1110, 1254, 1255, 1257, 1287, 1379, 1647, 1885, 2226, 14361, 32401, 38656]
135	[5, 341, 511, 608, 714, 1181, 2133]
9	[8, 9, 22, 49, 51, 84, 92, 167, 172, 181, 203, 220, 238, 240, 243, 257, 260, 265, 271, 281, 285, 313, 315, 342, 396, 471, 480, 481, 783, 792, 798, 875, 958, 963, 1084, 1094, 1095, 1306, 1311, 1347, 1356, 1470, 1503, 1629, 1663, 1713, 1739, 1813, 1838, 1926, 1940, 1947, 1955, 1989, 2021, 2035, 2044, 2052, 2060, 2090, 2117, 2136, 2142, 2217, 2238, 2245, 2250, 2413, 2440, 2462, 2555, 2603, 2876, 2889, 2905, 2960, 3022, 3566, 3580, 4336, 4917, 4921, 4927, 5075, 5135, 5536, 6012, 6206, 7768, 7934, 8190, 8683, 10029, 10036, 10068, 10228, 11455, 12210, 12475, 15248, 16714, 17470, 18075, 22382, 23256, 23305, 23764, 25770, 30037, 33139, 42952, 45428, 60082, 63582, 71931, 73615, 78785, 84936, 97141, 104713, 115087, 135395, 141213, 149489, 162371, 165093, 165098, 231259, 233531, 283455, 313678, 361921, 421823, 574164, 676087, 708668, 868651, 1133863, 1188790, 1560253, 1793383, 2715335, 2967375, 4561065]
10	[10, 21, 23, 25, 26, 32, 36, 38, 39, 40, 59, 71, 73, 74, 81, 89, 90, 112, 113, 115, 120, 135, 138, 141, 144, 153, 154, 157, 160, 178, 191, 195, 212, 218, 224, 245, 248, 249, 254, 267, 282, 287, 303, 317, 351, 360, 361, 372, 377, 378, 385, 399, 405, 418, 428, 436, 446, 452, 468, 474, 502, 507, 509, 574, 583, 597, 616, 625, 633, 660, 661, 672, 689, 690, 705, 724, 732, 734, 736, 739, 740, 748, 756, 767, 771, 780, 782, 784, 785, 786, 793, 844, 852, 856, 877, 886, 894, 921, 947, 975, 979, 985, 992, 998, 1008, 1028, 1030, 1031, 1033, 1060, 1073, 1074, 1079, 1097, 1134, 1157, 1192, 1336, 1338, 1345, 1358, 1458, 1494, 1512, 1514, 1526, 1531, 1537, 1561, 1564, 1575, 1666, 1711, 1712, 1851, 1909, 1966, 1971, 1986, 1988, 2020, 2022, 2039, 2061, 2062, 2063, 2066, 2100, 2111, 2152, 2216, 2677, 2687, 2721, 2735, 2952, 3339, 3347, 3592, 3654, 3715, 3716, 3867, 4083, 4213, 4370, 4440, 4487, 4492, 5934, 6275, 6478, 6687, 6702, 6704, 6809, 6895, 6916, 7467, 8286, 8688, 9028, 9876, 10043, 10078, 10088, 11030, 11295, 12266, 13289, 13350, 14696, 14825, 15492, 15590, 16523, 18577, 18628, 19958, 20233, 21510, 21970, 22321, 22532, 22535, 24515, 26764, 27262, 27430, 33574, 34682, 39584, 39910, 39911, 47134, 75365, 84715, 84749, 84751, 94831, 98133, 273442, 292252, 352861, 417327, 587620, 1095729]
11	[11, 150, 266, 302, 343, 352, 367, 491, 505, 578, 613, 651, 653, 654, 749, 750, 751, 766, 1059, 1353, 1572, 1793, 1897, 4351, 6303, 7227, 7322, 7615, 8023, 9453, 11588, 16674, 19110, 19389, 20562, 20587, 21342, 44386]
13	[13, 53, 83, 88, 130, 140, 142, 152, 200, 237, 250, 269, 270, 318, 319, 321, 355, 365, 375, 465, 466, 467, 573, 581, 582, 644, 647, 648, 722, 772, 801, 832, 833, 864, 871, 873, 879, 890, 892, 910, 954, 960, 983, 1004, 1023, 1035, 1044, 1045, 1056, 1064, 1140, 1144, 1178, 1191, 1246, 1286, 1314, 1359, 1441, 1540, 1542, 1664, 1717, 1759, 1782, 1857, 1962, 1990, 1993, 2016, 2075, 2300, 2342, 2365, 2662, 2718, 2879, 2894, 3001, 3038, 3044, 3266, 4041, 4147, 5616, 6139, 6185, 6399, 6429, 6722, 7105, 7106, 7476, 10924, 15902, 25951, 35941, 53546, 54820, 79032, 79852, 80016, 91224, 107068, 171246, 211465, 354556, 562032, 692664, 713787, 1698298, 3384962, 3798900]
1286	[17, 1186, 7377, 9404, 12528, 12557, 14081, 14252, 14253, 14290, 14291, 17103, 19631, 20125, 23698]
341	[20, 664, 1244, 2243, 6833, 14862, 21883, 25454, 33825, 39531, 39550, 40644, 69190, 945130]
66	[24, 66, 69, 444, 475, 594, 2001]
