4581644	2602955	7
2238388	1290442	5
4454671	84829	4
3459361	2671479	6
149449	3016513	5
4593309	973583	5
3388555	3377778	6
2680007	1281941	6
2606532	3270287	5
1337076	2084010	6
1760139	4365341	6
2871383	190929	5
2542982	1431261	6
1986184	2646705	8
2478056	1269232	6
2893954	253934	7
3887871	1184042	6
3922481	3384930	7
726852	4610195	5
435149	3876742	6
2203344	4929258	6
3346031	52834	5
2627382	489036	7
1526446	102219	5
4361737	2859369	7
3309186	1687757	7
3075238	3529952	8
4102067	1256899	6
1537453	767985	6
4934667	1342729	6
1389504	1853235	7
4377693	2696136	6
2317432	1867004	6
3287960	3671656	6
5135	1509918	8
2322816	2450522	6
3754965	4562084	8
1458183	3927398	8
1984252	3329903	8
3163389	3157841	7
17249	4354964	6
3640000	997727	7
2537243	3568381	6
2454800	1197596	7
3749009	79482	5
2074661	1188484	6
170720	2199327	5
3143205	4761322	6
1000938	2771008	5
914422	2526304	6
1637794	2871196	6
1035738	428626	5
382383	1699260	5
2656586	3010808	7
8614	1999005	6
3210818	3676934	8
987525	392773	5
38040	901474	5
2956727	489601	6
727104	3529912	9
4898973	3068506	7
3790543	430192	6
4363722	2882378	6
170657	3664589	6
2009772	3078095	8
3285043	3381213	6
2463498	1716521	5
2921705	1419307	6
197354	2877600	5
2612738	1121202	6
4053088	2294989	4
3198532	2029283	5
405110	1490038	5
2210180	3646629	6
2669099	1348685	6
2076605	2453393	8
330170	3954343	6
347994	2564324	7
4831460	26488	5
4616227	4023039	7
2948098	3167259	8
1576215	165596	5
2499104	3529305	7
83848	4725952	5
3498581	1598875	8
1957017	241545	6
4928633	3917274	7
475862	4079222	6
1282018	1410716	4
158373	3591609	7
128199	1344969	5
2580158	1419270	6
3927836	1011920	6
2004869	4728785	8
1091208	2735865	6
4864379	4346308	6
451947	1598979	6
201492	338589	5
4557257	2238341	8
2865409	2469553	5
