3635565	2084359	6
4933486	1010602	7
1007224	1185674	6
1711662	241123	7
3446273	3011272	7
1125646	2708889	6
3220965	201659	6
3240095	251976	6
189469	1485460	6
1271384	2772088	8
4950950	3292171	7
3735319	644705	6
1808619	3149678	8
1013588	388018	5
3300723	3003479	6
2428400	676745	6
1018476	2681577	9
4408108	2088320	8
3362323	1195695	5
3485816	785566	6
1495490	1557274	6
3924263	2448730	6
3021770	2780756	6
1841350	1259118	6
3757385	3944888	7
305377	452403	7
2680121	3221625	7
3322695	663387	4
3387764	2451451	6
1246809	1149939	7
2917575	1865083	6
3722849	1330562	6
3183079	2449558	8
2578443	3431468	6
1102407	2366748	5
61137	765198	5
1594726	751267	6
2562425	3896936	6
700793	4753317	5
3609377	728349	5
2419217	780994	7
48215	201258	7
3427473	3982866	5
3749640	3749764	6
397065	1962759	6
2422210	2476294	7
1922821	1688797	6
4041617	1349519	6
3079135	957513	6
2624353	3198722	7
3665811	2001250	6
3206607	1976440	6
2595983	1014909	7
2459480	1092561	7
200923	871269	7
4461061	2574795	8
3338099	1965919	7
3486161	2281398	6
2473160	213801	4
2714062	2051697	5
1227740	1177436	6
3455538	2280336	7
3078056	934369	6
3294370	3543299	6
3508312	3327872	7
4112824	2559569	8
4357656	146949	5
2547651	1498642	6
1012715	271911	5
2572350	910681	7
4005157	132204	6
3190049	3765755	7
884809	221080	6
970630	1611627	6
3476897	582344	7
3899032	1140180	7
3276513	2675903	6
3529705	2465910	5
3271735	2447427	6
56975	4617793	6
4032403	4431514	7
1349462	428199	6
3213889	4350506	6
4784005	3598133	9
2576575	1624939	6
4008678	3178413	9
3890967	2455181	7
4802203	1195031	6
4892467	1203652	6
2337516	1232845	7
108905	1240125	6
2224559	3216735	5
3291278	4882124	6
4313072	44651	5
2150816	466414	6
3451247	129757	5
4336646	593859	6
238380	4085360	9
2654695	1903748	5
